id,date,open,high,low,close,adjusted_close,volume
374,2018-05-18,79.14,81.94,76.93,80.79,80.7900,40301283
375,2018-05-11,74.22,79.39,74.1,79.2,79.2000,41494039
376,2018-05-04,74.0,75.71,70.22,73.99,73.9900,57596900
377,2018-04-27,78.86,79.45,73.635,74.13,74.1300,47585018
378,2018-04-20,77.88,80.89,77.19,78.73,78.7300,31568728
379,2018-04-13,74.6,78.63,74.6,77.27,77.2700,29071653
380,2018-04-06,75.23,77.82,72.52,73.86,73.8600,46729302
381,2018-03-29,77.98,79.9,74.55,75.87,75.8700,41922919
382,2018-03-23,80.89,82.35,76.35,76.44,76.4400,41211287
383,2018-03-16,80.75,83.99,79.27,82.16,82.1600,42607168
384,2018-03-09,78.07,80.85,77.09,80.71,80.7100,32508179
385,2018-03-02,80.0,82.17,76.93,78.87,78.8700,44491841
386,2018-02-23,77.7,79.7,76.465,79.69,79.6900,29013546
387,2018-02-16,75.49,78.75,74.13,78.37,78.3700,45130364
388,2018-02-09,75.95,78.98,71.63,74.75,74.7500,73978811
389,2018-02-02,85.2,86.32,76.28,76.57,76.5700,93506595
390,2018-01-26,84.0,85.49,82.71,85.45,85.4500,39399343
391,2018-01-19,80.95,84.19,79.94,83.84,83.8400,31637942
392,2018-01-12,78.7,80.77,77.7,80.54,80.5400,35348906
393,2018-01-05,74.235,78.93,73.43,78.7,78.7000,37172509
394,2017-12-29,73.29,75.0,72.63,73.62,73.6200,16669984
395,2017-12-22,76.3,76.35,72.9,73.89,73.8900,29556099
396,2017-12-15,72.96,75.87,72.56,75.65,75.6500,37161301
397,2017-12-08,75.59,75.7439,68.61,72.91,72.9100,66968792
398,2017-12-01,78.63,79.385,71.67,75.3,75.3000,69789935
399,2017-11-24,76.6,78.9,75.88,78.57,78.5700,29683778
400,2017-11-17,73.61,78.01,73.185,76.38,76.3800,42134741
401,2017-11-10,73.72,75.45,72.41,73.99,73.9900,38730277
402,2017-11-03,71.45,73.41,70.53,73.39,73.3900,32198461
403,2017-10-27,71.02,72.07,69.55,71.06,71.0600,53130979
404,2017-10-20,69.04,71.73,66.16,70.97,70.9700,73568957
405,2017-10-13,66.2,69.61,65.79,68.66,68.6600,40430210
406,2017-10-06,64.5,66.41,63.69,66.05,66.0500,28176374
407,2017-09-29,65.0,65.0,62.365,64.03,64.0300,38669863
408,2017-09-22,62.62,65.24,62.52,65.08,65.0800,39990372
409,2017-09-15,61.73,63.26,61.58,62.5,62.5000,35701851
410,2017-09-08,61.26,62.13,60.58,61.13,61.1300,20753710
411,2017-09-01,60.31,62.23,59.63,61.46,61.4600,24038455
412,2017-08-25,59.33,61.0,58.755,59.97,59.9700,22294980
413,2017-08-18,58.61,60.7,58.271,59.44,59.4400,30358326
